"","Subject","MM_Intercept","MM_Hess","features_class","average_peak_magnitude","average_peak_curvature","hmm2_mean.1","hmm2_mean.2","hmm2_sd.1","hmm2_sd.2","hmm2_p1","hmm2_p2","hmm3_mean.1","hmm3_mean.2","hmm3_mean.3","hmm3_sd.1","hmm3_sd.2","hmm3_sd.3","hmm3_p1","hmm3_p2","hmm3_p3","hmm4_mean.1","hmm4_mean.2","hmm4_mean.3","hmm4_mean.4","hmm4_sd.1","hmm4_sd.2","hmm4_sd.3","hmm4_sd.4","hmm4_p1","hmm4_p2","hmm4_p3","hmm4_p4","hmm5_mean.1","hmm5_mean.2","hmm5_mean.3","hmm5_mean.4","hmm5_mean.5","hmm5_sd.1","hmm5_sd.2","hmm5_sd.3","hmm5_sd.4","hmm5_sd.5","hmm5_p1","hmm5_p2","hmm5_p3","hmm5_p4","hmm5_p5"
"1","CTEEG030",1.08597755474869e-07,-1.05092918888901e-07,"control",8.29413955200113e-07,-5.9068367744796e-10,0.868,0.604,0.129,0.074,0.515900383141762,0.484099616858238,0.577,0.744,0.957,0.062,0.045,0.118,0.374329501915709,0.356130268199234,0.269540229885057,0.56,0.78,0.971,0.681,0.056,0.033,0.116,0.027,0.306513409961686,0.249233716475096,0.242337164750958,0.201915708812261,0.606,0.971,0.781,0.516,0.688,0.022,0.116,0.032,0.047,0.025,0.180842911877395,0.240996168582375,0.243103448275862,0.144827586206897,0.190229885057471
"2","CTEEG031",1.08085383087642e-07,-1.04597082979668e-07,"control",8.52790826616291e-07,-6.45990094850571e-10,0.59,0.899,0.096,0.184,0.530876109610189,0.469123890389811,0.66,0.909,0.49,0.045,0.184,0.065,0.347742184484755,0.44287919722115,0.209378618294095,0.64,0.485,0.789,1.041,0.036,0.062,0.05,0.214,0.287919722115013,0.195870320339637,0.326321883442686,0.189888074102663,1.073,0.597,0.819,0.456,0.692,0.224,0.033,0.046,0.051,0.03,0.156503280586646,0.214781937475878,0.282709378618294,0.138556541875724,0.207448861443458
"3","CTEEG032",-6.47864011658684e-08,6.26955136674808e-08,"control",6.32793528649582e-07,-5.4133741568593e-10,0.709,0.466,0.127,0.065,0.40495867768595,0.59504132231405,0.76,0.426,0.553,0.123,0.048,0.039,0.277532192965597,0.366327118969825,0.356140688064578,0.492,0.783,0.591,0.393,0.027,0.121,0.034,0.036,0.30367095906208,0.231597155487219,0.254660772631174,0.210071112819527,0.623,0.385,0.814,0.531,0.467,0.036,0.032,0.12,0.021,0.018,0.229290793772823,0.181818181818182,0.179896213722852,0.210455506438593,0.198539304247549
"4","CTEEG033",-1.57363524773487e-09,1.52284864217963e-09,"control",6.50158474214819e-07,-4.32614543083817e-10,0.699,0.481,0.089,0.067,0.440677966101695,0.559322033898305,0.456,0.591,0.75,0.057,0.036,0.077,0.416217257318952,0.314522342064715,0.269260400616333,0.755,0.601,0.501,0.401,0.076,0.034,0.024,0.045,0.2557781201849,0.288713405238829,0.281587057010786,0.173921417565485,0.556,0.774,0.636,0.489,0.398,0.021,0.072,0.028,0.019,0.044,0.190292758089368,0.208397534668721,0.214175654853621,0.224768875192604,0.162365177195686
"5","CTEEG034",2.001960233452e-07,-1.93734984631818e-07,"control",9.77822853035084e-07,-7.20044887976429e-10,0.722,1.087,0.105,0.164,0.627564847077042,0.372435152922958,0.616,1.093,0.794,0.071,0.163,0.053,0.245451025938831,0.363917924893535,0.390631049167635,1.163,0.761,0.611,0.896,0.15,0.032,0.07,0.049,0.252419667053813,0.276229190863337,0.233255903987611,0.238095238095238,0.896,1.163,0.553,0.766,0.671,0.048,0.15,0.056,0.03,0.027,0.237708091366628,0.252226093689508,0.111691831204026,0.255516840882695,0.142857142857143
"6","CTEEG035",-5.59419040219013e-08,5.41364601334534e-08,"control",6.79406180551353e-07,-6.29004847632443e-10,0.471,0.757,0.078,0.14,0.574418604651163,0.425581395348837,0.844,0.428,0.597,0.124,0.057,0.05,0.244573643410853,0.378294573643411,0.377131782945736,0.487,0.384,0.847,0.611,0.029,0.042,0.124,0.044,0.239341085271318,0.197286821705426,0.24031007751938,0.323062015503876,0.865,0.655,0.559,0.47,0.38,0.12,0.032,0.028,0.021,0.041,0.213372093023256,0.193798449612403,0.222480620155039,0.186240310077519,0.184108527131783
"7","CTEEG036",3.81779684879758e-07,-3.69458294272488e-07,"control",1.17785181438791e-06,-7.57820267618695e-10,0.892,1.317,0.135,0.175,0.655864197530864,0.344135802469136,0.783,1.355,1.024,0.089,0.163,0.061,0.337384259259259,0.291473765432099,0.371141975308642,1.054,0.751,1.358,0.923,0.044,0.075,0.163,0.036,0.270061728395062,0.258873456790123,0.288966049382716,0.182098765432099,1.135,0.75,1.024,0.92,1.412,0.05,0.075,0.025,0.035,0.15,0.173996913580247,0.256751543209877,0.171489197530864,0.178240740740741,0.219521604938272
"8","CTEEG037",2.5846312251142e-08,-2.50121596105338e-08,"control",7.14676963726581e-07,-5.18315388876237e-10,0.461,0.736,0.066,0.136,0.482135996926623,0.517864003073377,0.619,0.846,0.446,0.045,0.117,0.057,0.338647714175951,0.248559354590857,0.412792931233192,0.404,0.512,0.849,0.635,0.039,0.033,0.116,0.037,0.22915866308106,0.247791010372647,0.244717633499808,0.278332693046485,0.463,0.547,0.651,0.865,0.38,0.022,0.028,0.036,0.113,0.03,0.189204763734153,0.190741452170572,0.257011140991164,0.219170188244333,0.143872454859777
"9","CTEEG038",3.29049907377053e-08,-3.18430297639889e-08,"control",7.07481826411671e-07,-4.84868656959219e-10,0.523,0.803,0.085,0.164,0.6,0.4,0.628,0.851,0.469,0.043,0.169,0.064,0.350338164251208,0.29256038647343,0.357101449275362,0.616,0.468,1.048,0.762,0.036,0.064,0.216,0.05,0.304734299516908,0.351884057971015,0.08,0.263381642512077,1.048,0.512,0.616,0.401,0.762,0.216,0.022,0.035,0.046,0.05,0.08,0.213719806763285,0.303768115942029,0.138743961352657,0.263768115942029
"10","CTEEG041",2.06275315128561e-07,-1.99618075299174e-07,"control",1.02829601068973e-06,-8.23307416803351e-10,0.721,1.12,0.12,0.196,0.568230071414785,0.431769928585215,0.635,1.15,0.846,0.088,0.192,0.053,0.316927234124686,0.377533294730747,0.305539471144567,0.631,0.831,1.316,1.017,0.087,0.046,0.193,0.062,0.309978768577495,0.275815479637136,0.156340474811812,0.257865276973557,1.317,0.715,1.019,0.571,0.844,0.193,0.036,0.061,0.074,0.04,0.15537541015248,0.18355529820498,0.251302837290098,0.16348195329087,0.246284501061571
